rank,pid_1915,pid_1924,similarity,chapter_1915,chapter_1924,section_1924,text_1915,text_1924
139,C13-S06-P02,C06-S06-P05,0.0967741935483871,C13,C06,C06-S06,それから基督敎では神樣の敎といふものを基督が説いた。 基督の説いたのは神樣の敎である。 此の敎を守れば人間は精神的生命を得る事が出來る、即ち永久不滅の生活に入る...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
140,C21-P19,C01-S02-I03-P01,0.0967741935483871,C21,C01,C01-S02,先づ斯う云ふ諸元素は必ず備はらなければならぬ。 是れは各宗敎共通の要素であります。 所で今度は道徳の方から觀るのでありますが社會文明が進んで來ると道徳が大變大事...,一神敎에서는 宗敎的 要素로 超人的 勢力을 밋는 것이며 超人的 勢力에 歸依하는 것이며 超人的 勢力에 對한 希望과 祈願이 그 主要한 要素이며 그리하...
141,C23-P06,C06-S06-P13,0.0967741935483871,C23,C06,C06-S06,(三)學校で敎育して居る子弟は各種の家庭から來て居ります。 神道の家庭もあり、佛敎の家庭もあり、基督敎の家庭もあり、それから無宗敎の家庭もあります。 さうして無...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
142,C02-P13,C03-S04-I02-P10,0.09523809523809523,C02,C03,C03-S04,現に加藤博士などは唯物論者でありますが、頻りに唯物々々といつて論じて居られる時に當つて、其物質は果して何でありますか、あなたの主張して居られる物質とは如何なるも...,上圖와 가티 物質과 精神은 한가지로 實在的 原理에 依하야 나타나는 것임으로 唯心과 唯物은 同一한 原理의 實在的 存在라 할 수 잇다
143,C02-P26,C03-S04-I02-P11,0.09523809523809523,C02,C03,C03-S04,第三に、精神といふものは延長の無きものである、擴がつて居らぬ。 精神は無形のものである、物質のやうに延長が無い。 然るに唯心と喝破して來るときには、此延長ある物...,實在라 하는 말은 그 이름과 가티 宇宙萬象이 精神됨과 物質됨을 勿論하고 한가지로 實在라 하는 말이니 譬하야 말하면 波와 波가 한가지로 海水에 因...
144,C13-S01-P08,C06-S06-P02,0.09523809523809523,C13,C06,C06-S06,斯ういふやうな差異點が基督敎と儒敎との間にはあります。 まだ此外にも索致たならばいろ／＼列擧し得らるゝでありませうが茲にはさういふ差異點でて、基督敎と儒敎との間...,第一 儒敎와 基督敎의 差異点으로 말하면
145,C14-S03-P02,C06-S06-P12,0.09523809523809523,C14,C06,C06-S06,第一に佛敎は汎神敎(パンテイズムス)であります。 尤も佛敎は唯、斯う言つた丈では盡きて居らぬ。 なぜならば俗佛敎は多神敎であります。 澤山のホトケがありますから...,丙、佛敎는 無神敎로 汎神敎에 進하야 汎神敎로 更히 一神敎를 包容한 点이 잇스나 基督敎는 純粹 一神敎인 것이라 佛敎는 元來 (原始佛敎) 婆羅門敎의...
146,C21-P15,C06-S06-P03,0.09523809523809523,C21,C06,C06-S06,(三) 敬虔の念 是れは超人的の勢力を信仰して、其超人的の勢力は吾々の運命を支配するものである、即ち將來の不明なる範圍に於て吾々の運命を左右するものであると云ふ...,甲、基督敎는 純粹信仰에 依하야 成立된 宗敎이나 儒敎는 大體가 德敎인 것이다 基督敎는 知를 不要하고 理論을 不要하는 宗敎이니 但히 神을 信하며 神...
147,C22-P03,C06-S06-P15,0.09523809523809523,C22,C06,C06-S06,佛敎と基督敎は相互に種々の關係を持つて、相互に影響を及ぼしつゝあるのであります。 其關係の事をお話をするに付いて、先づ佛敎と基督敎との一長一短と見るべき所をお話...,己、佛敎는 佛을 汎神敎的 宇宙普遍인 理性으로 解釋할 수 잇스나 基督敎는 어대까지든지 神을 人格者로 觀하는 것이라
148,C23-P06,C06-S06-P15,0.09523809523809523,C23,C06,C06-S06,(三)學校で敎育して居る子弟は各種の家庭から來て居ります。 神道の家庭もあり、佛敎の家庭もあり、基督敎の家庭もあり、それから無宗敎の家庭もあります。 さうして無...,己、佛敎는 佛을 汎神敎的 宇宙普遍인 理性으로 解釋할 수 잇스나 基督敎는 어대까지든지 神을 人格者로 觀하는 것이라
149,C02-P27,C03-S04-I02-P10,0.09375,C02,C03,C03-S04,第四に斯う云ふことがある。 唯心と見ると云ふと、どうしても此世界に二樣の性質のあることを説明せぬければならぬ。 縱令ひ外界を精神の產物と見たところが、外界と內界...,上圖와 가티 物質과 精神은 한가지로 實在的 原理에 依하야 나타나는 것임으로 唯心과 唯物은 同一한 原理의 實在的 存在라 할 수 잇다
150,C13-S01-P02,C06-S06-P13,0.09375,C13,C06,C06-S06,第一、基督敎は宗敎として發達して來たものでありまして、信仰に依つて成立つて居ります。 儒敎は全く宗敎的分子がないといふのではないけれども、大體は德敎であります。...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
151,C13-S01-P04,C06-S06-P16,0.09375,C13,C06,C06-S06,第三に基督敎の側では未來生活の信仰があります。 神の敎を守つて行く者は天國に入る、さうでない者は滅亡を免れぬといふやうに説きます。 さうして地獄極樂といふものが...,庚、佛敎는 最後 理想의 境涯를 涅槃이라 하엿스나 基督敎는 그를 天國이라 名命한 것이라 大槪 涅槃과 天國의 差別點은 前者는 모든 個性我의 差別相을...
152,C13-S01-P05,C06-S06-P07,0.09375,C13,C06,C06-S06,第四に基督敎の方は復活（レサレクション）の考があります。 基督が復活したといふことを篤く信じて、基督を信仰する者は亦基督の樣に復活するといふのがポーロの考であり...,戊、基督敎는 사람性은 先天的으로 罪惡인 것을 信하나 儒敎는 性善을 信한 것이라 例하면 基督敎에서는 人類의 元祖인 아담이 神의 罰責을 受하엿슴으로...
153,C23-P05,C06-S06-P13,0.09375,C23,C06,C06-S06,(二)宗敎を學校の中に入れると云ふことが非常に困難であります。 宗敎と申しまするのは特殊の宗敎即ち歷史的宗敎のことであります。 佛敎や基督敎などは皆歷史的宗敎で...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
154,C02-P14,C03-S04-I06-P04,0.09302325581395349,C02,C03,C03-S04,第二には、物質は精神を豫想して居る。 物質といふものを立てるのには、どうしても吾々の精神といふものを先へ立てぬければならぬ。 認識の順序から云へば精神の方が先だ...,吾人은 以上에서 生命과 意識을 論한 欄에서 屢屢히 說明함과 갓티 物質은 物質뿐 안이오 精神은 精神뿐 아니라 物質과 精神은 其實實在라 하는 大宇宙...
155,C12-P11,C06-S06-P13,0.09302325581395349,C12,C06,C06-S06,第三に神道は民族敎であります。 即ち日本民族のみに限る宗敎であります。 宗敎には民族敎でないのがある。 佛敎や基督敎は民族敎ではない。 婆羅門敎とか猶太敎とか支...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
156,C14-S05-P03,C06-S05-P03,0.09302325581395349,C14,C06,C06-S05,それから第二には、基督敎の側では人間は神樣の恩惠に因つて幸を得、神樣の怒に因つて不幸な目に遭ふといふやうに、神樣の賞罰といふものが大に人間の幸福に關して居る譯で...,第一은 宗敎上에 잇서는 神의 賞罰을 信함에 잇다 하엿다 그들은 미드되 사람의 禍福은 神의 意志로 뿐 左右되는 것인 故로 사람은 神의 賞을 受하고...
157,C14-S03-P02,C03-S04-I03-P02,0.09230769230769231,C14,C03,C03-S04,第一に佛敎は汎神敎(パンテイズムス)であります。 尤も佛敎は唯、斯う言つた丈では盡きて居らぬ。 なぜならば俗佛敎は多神敎であります。 澤山のホトケがありますから...,一神敎는 宇宙는 唯一 神의 支配를 受한다 云하는 것이며 그리하야 其 所謂 一神은 人格을 具한 者라 觀하엿슴이라 宇宙에는 唯一 人格的 神이 有하야...
158,C01-S03-P04,C06-S06-P21,0.09090909090909091,C01,C06,C06-S06,第三は科學時代,第三 「理想境」은 地上天國으로 한 것이니 人乃天은 神과 人을 區別치 안이함으로 人으로써 神性의 生活을 表顯하는 날이면 地上이 곧 天國된다 信하는...
159,C02-P04,C03-S04-I02-P06,0.09090909090909091,C02,C03,C03-S04,斯樣な具合に唯物論と唯心論とが對立してゐて、其れと同じく經驗論(Empirismus)と唯理論(Rationalismus)といふものが對立して居る。 即ち經驗...,이러케 생각하고 보면 唯物論과 唯心論은 둘이다 各一條의 眞理를 가젓슴과 가티 둘이다 一偏의 缺陷이 잇슴을 알지라 即 眞理는 唯物임과 同時에 唯心...
160,C02-P22,C03-S04-I02-P06,0.09090909090909091,C02,C03,C03-S04,倂しながら此處に唯心論と申しまする中には色々な哲學系統が含まれて居ります。 唯心論は唯物論のやうに、さう單純に取扱ふことは出來ぬ。 なか／＼其種類が多い。 それ...,이러케 생각하고 보면 唯物論과 唯心論은 둘이다 各一條의 眞理를 가젓슴과 가티 둘이다 一偏의 缺陷이 잇슴을 알지라 即 眞理는 唯物임과 同時에 唯心...
161,C02-P36,C03-S04-I05-P12,0.09090909090909091,C02,C03,C03-S04,ネゲリーと云ふ人は中々面白い硏究をした人であります。 科學者であるけれ共哲學上の問題に接觸して來た。 ヘッケルのやうな極端なる論者でなくして、比較的着實に論斷し...,物質의 原子에는 拒力 吸力이라 하는 것이 잇나니 拒力은 互相 排斥하는 力이오 吸力은 互相 化合하는 力이라 原子에는 此 兩個 力이 包含하엿슴으로 ...
162,C02-P47,C03-S04-I02-P06,0.09090909090909091,C02,C03,C03-S04,實在論にも種々ありますけれども、其最も完全なるものを吾々は圓融實在論とも又現象即實在論ともいつて居ります。 今日は其趣意を述ぶるのを目的としたのではありませぬ。...,이러케 생각하고 보면 唯物論과 唯心論은 둘이다 各一條의 眞理를 가젓슴과 가티 둘이다 一偏의 缺陷이 잇슴을 알지라 即 眞理는 唯物임과 同時에 唯心...
163,C05-P04,C03-S03-I02-P15,0.09090909090909091,C05,C03,C03-S03,生命は自己經營を爲し發展を遂げて止まざる獨立の活動なり。,萬一 우리의 生命範圍가 七十歲로 限度가 되지 안이하고 千年 或은 萬年이라는 生命을 가젓다 하면 우리의 모든 活動은 一時에 큰 變革이 생길 것이다...
164,C05-P06,C03-S03-I02-P15,0.09090909090909091,C05,C03,C03-S03,生命は或時間自己經營を爲し發展を遂げて止まざる比較的獨立の活動なり。,萬一 우리의 生命範圍가 七十歲로 限度가 되지 안이하고 千年 或은 萬年이라는 生命을 가젓다 하면 우리의 모든 活動은 一時에 큰 變革이 생길 것이다...
165,C05-P28,C03-S04-I02-P01,0.09090909090909091,C05,C03,C03-S04,どうしても宇宙の全體の法則に律せられることを免れぬやうになつて居る。 さういふ譯のものでありますから個人と宇宙とは根本的に區別し得られるものでない。,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라
166,C06-P02,C03-S04-I06-P05,0.09090909090909091,C06,C03,C03-S04,吾々人間の生命の如く、最も高度に發展したる生命の特徴は左の五種であります。,第一 作用은 肉體에서 生하고 肉體는 生命에서 生하고 生命은 大宇宙의 活精에서 生하는 것
167,C06-P13,C03-S04-I05-P02,0.09090909090909091,C06,C03,C03-S04,第一、人間本位意識論(Anthropistische Theorie des Bewnsstseins)是れは意識は人間のみに外ないと云ふ説であります。 それは...,意識을 觀念하는 上 다섯 가지의 思考가 잇나니
168,C06-P14,C03-S04-I05-P03,0.09090909090909091,C06,C03,C03-S04,第二、神經本位意識論(Neurologische Theorie des Bewnsstseins)是れは意識は獨り人間のみでない。 神經系統のある他動物にもあ...,첫재는 사람 本位의 意識論이니 即 사람 以外의 것은 무엇이든지 意識이 업다 하는 것이며
169,C06-P14,C06-S06-P09,0.09090909090909091,C06,C06,C06-S06,第二、神經本位意識論(Neurologische Theorie des Bewnsstseins)是れは意識は獨り人間のみでない。 神經系統のある他動物にもあ...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
170,C06-P15,C03-S04-I05-P04,0.09090909090909091,C06,C03,C03-S04,第三、動物本位意識論（Animalische Theorie des Bewusstseins）是れは凡ての動物に意識があると云ふのであります。 さうして單に動...,둘재는 神經 本位의 意識論이니 即 神經이 잇는 것 以外에 意識이 업다 한 것인데 이것은 前者에 比하야 한 層 超越한 意識觀이 될 것이며
171,C10-P07,C05-S03-I03-P01,0.09090909090909091,C10,C05,C05-S03,水は天地の包幕、五行の始め、萬物の由つて生ずる所、元氣の津液なり,「大神師 曰 定이라 함은 其(內有神靈) 德에 合하야 其(內有神靈) 心을 定함이라」는 心의 大定을 이름이라 心이 定치 안이한 者는 道를 得치 못하...
172,C13-S01-P01,C06-S06-P09,0.09090909090909091,C13,C06,C06-S06,基督敎と儒敎と對照して見ますと素より種々なる差異點のあることが見えるのであります。 此處には差異點を講究する積りではないけれども、差異點のあることを決して看過し...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
173,C13-S01-P04,C06-S06-P21,0.09090909090909091,C13,C06,C06-S06,第三に基督敎の側では未來生活の信仰があります。 神の敎を守つて行く者は天國に入る、さうでない者は滅亡を免れぬといふやうに説きます。 さうして地獄極樂といふものが...,第三 「理想境」은 地上天國으로 한 것이니 人乃天은 神과 人을 區別치 안이함으로 人으로써 神性의 生活을 表顯하는 날이면 地上이 곧 天國된다 信하는...
174,C14-S02-P03,C06-S06-P09,0.09090909090909091,C14,C06,C06-S06,第二に佛敎は理性的の處があります。 徐程理窟ぽい處がある。 即ち理に訴へて説き明す方面がある。 それならばと云つて感情的の方面がないかといふとさうではない。 感...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
175,C14-S04-P03,C06-S06-P10,0.09090909090909091,C14,C06,C06-S06,如何に佛敎と基督敎を調和しやうとしても、歷史的には到底調和することの出來ないのは、此顯著なる差異點であります。,甲、佛敎는 靜的 氣分을 가젓스나 基督敎는 動的의 氣分이 잇는 것이니 말하자면 佛敎는 不變不動하는 泰山喬嶽과 如하야 深靜幽遠한 態가 有하나니 그는...
176,C14-S04-P04,C06-S06-P09,0.09090909090909091,C14,C06,C06-S06,第二に人格觀念の有無が此の二敎を區別するに足るのであります。 基督敎には何處までも人格思想がありまして是れが基督敎の特色を成して居ります。 獨り人間のみならず、...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
177,C14-S05-P01,C06-S06-P18,0.09090909090909091,C14,C06,C06-S06,次に道德に關する方面にいろ／＼の差異點がありますが、今は唯、三つの點を擧げて之を論ずることに致しませう。,以上은 儒 佛 基三敎의 差異點을 槪述한 것이라 이제 人乃天이 그 三敎의 特色에 比하야 如何한 區別이 잇는가를 言하면
178,C14-S05-P03,C06-S06-P09,0.09090909090909091,C14,C06,C06-S06,それから第二には、基督敎の側では人間は神樣の恩惠に因つて幸を得、神樣の怒に因つて不幸な目に遭ふといふやうに、神樣の賞罰といふものが大に人間の幸福に關して居る譯で...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
179,C16-P07,C06-S06-P13,0.09090909090909091,C16,C06,C06-S06,所が宗敎に斯う云ふことがあります。 先刻石川君の演說に分化と合同と云ふことがありましたが、やはり宗敎にも其事がある。 宗敎は種々に別れて來ますが、この宗敎の種々...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
180,C16-P13,C06-S06-P09,0.09090909090909091,C16,C06,C06-S06,それで日本は丁度三宅君が論せられた通り何物か特殊のものを供給するでなくてはならぬ。 特殊のものを供給するには玆に宗敎上大問題がある。 西洋に於ては基督敎が殆ど獨...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
181,C21-P04,C06-S06-P13,0.09090909090909091,C21,C06,C06-S06,そこで宗敎と云ふものは一體どうなるであらうか。 是れは段々なくなつて了ふものであらうか。 私は斯う云ふ考を宗敎に對しては有つて居ります。 宗敎は矢張り形が變はる...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
182,C23-P05,C06-S06-P15,0.09090909090909091,C23,C06,C06-S06,(二)宗敎を學校の中に入れると云ふことが非常に困難であります。 宗敎と申しまするのは特殊の宗敎即ち歷史的宗敎のことであります。 佛敎や基督敎などは皆歷史的宗敎で...,己、佛敎는 佛을 汎神敎的 宇宙普遍인 理性으로 解釋할 수 잇스나 基督敎는 어대까지든지 神을 人格者로 觀하는 것이라
183,C02-P08,C03-S04-I02-P02,0.0898876404494382,C02,C03,C03-S04,唯物論は哲學の發展の歷史から言ひますと云ふと最も古いのであります。 唯心論よりは先に起つて居る。 先づ哲學の起源はと云へば、無形の精神の硏究から始まつたのぢやな...,唯物論이라 함은 그의 이름과 가티 宇宙를 純粹히 唯物로 보는 것이니 宇宙萬有의 存在及作用이 다갓티 物質의 現象及力에 지나지 안이 한다 함이라 唯...
184,C04-P26,C03-S04-I04-P05,0.08823529411764706,C04,C03,C03-S04,斯う云ふ樣に、自我の區別がいろ／＼に出來ますけれども、自我が本當に幾つもあるのではない。 唯、同じ自我をいろ／＼な方面から見るとさう云ふ風に樣々な名が附けられる...,第四 生命은 自覺이 有하다 下等의 生物에 在하야는 確實히 生命의 自覺은 認定키 難하나 우리 人類와 如한 高等的 生命에 至하야는 確實한 自覺으로 ...
185,C14-S04-P05,C06-S06-P21,0.08823529411764706,C14,C06,C06-S06,第三に佛敎には涅槃(ニルヴーナ)の考へがあります。 涅槃は究竟目的でありまして實に印度の哲學宗敎の特色であります。 さうして是れは基督敎には全く無い事であります...,第三 「理想境」은 地上天國으로 한 것이니 人乃天은 神과 人을 區別치 안이함으로 人으로써 神性의 生活을 表顯하는 날이면 地上이 곧 天國된다 信하는...
186,C02-P09,C03-S04-I02-P01,0.08695652173913043,C02,C03,C03-S04,それから唯物論の方が唯心論よりは理解し易い、世俗に分かり易い。 世界は物質より成立つて居ると云ふ樣な、この物質の方から解釋して行く方が餘程よく世人には理解し易い...,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라
187,C02-P14,C03-S04-I02-P11,0.08695652173913043,C02,C03,C03-S04,第二には、物質は精神を豫想して居る。 物質といふものを立てるのには、どうしても吾々の精神といふものを先へ立てぬければならぬ。 認識の順序から云へば精神の方が先だ...,實在라 하는 말은 그 이름과 가티 宇宙萬象이 精神됨과 物質됨을 勿論하고 한가지로 實在라 하는 말이니 譬하야 말하면 波와 波가 한가지로 海水에 因...
188,C02-P42,C03-S04-I02-P15,0.08695652173913043,C02,C03,C03-S04,スピノーザの哲學は實在論であります。 スピノーザは精神物質といふものをSubstantiaといふ本體によつて統一したのであります。 そこで、此スピノーザの哲學は...,如斯히 思考하고 보면 時間空間의 無限이 한가지로 實在가 될 것이오 그리하야 實在는 精神的 物質兩眞理를 包含한 最高의 原理인즉 全宇宙는 畢竟—不生...
189,C02-P42,C05-S03-I01-P01,0.08695652173913043,C02,C05,C05-S03,スピノーザの哲學は實在論であります。 スピノーザは精神物質といふものをSubstantiaといふ本體によつて統一したのであります。 そこで、此スピノーザの哲學は...,第一 (至氣今至願為大降) 至氣 (大神師曰 至氣는 虛靈이 蒼蒼하야 無事不涉 無事不命의 理를 言함)는 天地에 充滿한 宇宙的 元氣인데 修道하는 者- ...
190,C04-P02,C03-S04-I05-P14,0.08695652173913043,C04,C03,C03-S04,吾々人類は意識界の中に居るのであります。 一方から言へば自然界に居るのであるけれども、一方から言へば意識界に居る。 吾々の生存して居る處は總て意識の境界である。...,意識界에는 可知界와 不可知界 두 가지가 잇다 하나니 可知界는 우리가 우리의 知覺으로 推測할 만한 世界이오 不可知界라 함은 우리가 아직 發見치 못...
191,C13-S01-P01,C06-S06-P08,0.08695652173913043,C13,C06,C06-S06,基督敎と儒敎と對照して見ますと素より種々なる差異點のあることが見えるのであります。 此處には差異點を講究する積りではないけれども、差異點のあることを決して看過し...,己、基督敎는 支那의 墨子와 가티 兼愛를 說하엿으나 儒敎는 差別愛를 說한 것이라 基督 聖經中에 일넛스되 敵을 愛하라 하엿스며 人이 我의 右頰을 打...
192,C13-S01-P02,C06-S06-P06,0.08695652173913043,C13,C06,C06-S06,第一、基督敎は宗敎として發達して來たものでありまして、信仰に依つて成立つて居ります。 儒敎は全く宗敎的分子がないといふのではないけれども、大體は德敎であります。...,丁、基督敎는 基督 復活의 理를 說하야 一般 信者가 한가지로 來世의 復活을 信하나 儒敎는 不然한 것
193,C13-S01-P03,C06-S06-P20,0.08695652173913043,C13,C06,C06-S06,第二に、基督敎の方では世界の創造を信じて居りますけれども、儒敎にはさういふことが素より無い。 儒敎では宇宙の發展して行く處は之を說きますけれども創造は說きませぬ...,第二「宇宙」 宇宙萬有는 進化하는 것으로 보는 것 人乃天 敎理에서 이른바 進化라 하는 것은 神 스스로가 無窮 以前에서부터 自己創造的 進化表顯으로 ...
194,C13-S05-P01,C06-S06-P05,0.08695652173913043,C13,C06,C06-S06,儒敎の中に宗敎心が隨分あります。 原始儒敎の中には天の考がある。 又孔子は天を禱つたものと見える。 『罪を天に獲れば禱る所無し』とある。 又『丘の禱るや久し』と...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
195,C14-S03-P04,C06-S06-P13,0.08695652173913043,C14,C06,C06-S06,第三に佛敎は沒我敎であります。 悟を開かぬ者は六道に輪廻するといふことを説きまして、何時までも、輪廻を免れぬけれども、悟を開けば宇宙の實在と一體となつて沒我の境...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
196,C21-P04,C06-S06-P15,0.08695652173913043,C21,C06,C06-S06,そこで宗敎と云ふものは一體どうなるであらうか。 是れは段々なくなつて了ふものであらうか。 私は斯う云ふ考を宗敎に對しては有つて居ります。 宗敎は矢張り形が變はる...,己、佛敎는 佛을 汎神敎的 宇宙普遍인 理性으로 解釋할 수 잇스나 基督敎는 어대까지든지 神을 人格者로 觀하는 것이라
197,C22-P15,C06-S06-P17,0.08695652173913043,C22,C06,C06-S06,宗敎の側はどうなるかと云ふと、私は斯う思ふ、基督敎といふものは、基督敎が歐米に繁昌したやうに、日本に繁昌することは出來ない。 なぜなれば歐米諸國には佛敎の如き先...,辛、佛敎은 人의 災禍는 사람 自己의 自業自得인 因果律로 엇는 것이라 하엿고 基督敎는 이를 先天的 人의 罪業으로 信하는 것이라 딸하서 佛敎는 사람...
198,C24-P01,C03-S04-P01,0.08695652173913043,C24,C03,C03-S04,私は今日「古風の宗敎と現代の道徳」と云ふ事に就いて御話をする積りであります。 所が唯今村上博士が宗敎の事に就いて御話がありましたから丁度それに引掛けて御話をする...,人乃天의 哲理라 함은 무엇이뇨 天道敎의 宗旨인 이 人乃天主義가 現代의 哲理와 符合되는 것을 簡單히 말하는 것이니 이제 人乃天의 哲理를 두 가지에...
199,C16-P13,C06-S06-P13,0.08571428571428572,C16,C06,C06-S06,それで日本は丁度三宅君が論せられた通り何物か特殊のものを供給するでなくてはならぬ。 特殊のものを供給するには玆に宗敎上大問題がある。 西洋に於ては基督敎が殆ど獨...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
200,C27-P01,C03-S04-P03,0.08571428571428572,C27,C03,C03-S04,今日は日本民族の起原に關する考證と云ふ題で、私の此の問題に就いて少しく硏究して居る事を述べて見やうと思うて居ります。 倂ながら何分廣汎なる關係を有つて居る問題で...,原理上 人乃天主義는 大槪 以上의 七個條로 論함을 可得하리라 以上에 述한 以外에도 多少 原理에 符合되는 眞諦를 말할 수 잇스나 아직은 大略 此에 ...
201,C14-S03-P04,C06-S06-P05,0.0851063829787234,C14,C06,C06-S06,第三に佛敎は沒我敎であります。 悟を開かぬ者は六道に輪廻するといふことを説きまして、何時までも、輪廻を免れぬけれども、悟を開けば宇宙の實在と一體となつて沒我の境...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
202,C21-P05,C03-S04-I07-P02,0.0851063829787234,C21,C03,C03-S04,斯う考へるのであります。 即ち宗敎が時代と共に形を變へて新しい者となつて後の人心を支配する樣になつて來るのであらう。 進化論に依れば、總てのものが進化して行くの...,進化論은 일넛스되 우리 사람은 엇더한 時代에 突然히 出生한 것이 안이오 먼 녜적의 下等動物로부터 進化하야 온 것이라 하엿다 古風論의 宗敎家들은 ...
203,C02-P02,C03-S04-I02-P01,0.08333333333333333,C02,C03,C03-S04,古今の哲學を達觀して見ますると云ふと、自ら哲學の思想に二大系統の區別のあると云ふことが解るのであります。 固より哲學の系統は複雜を極めて居りますけれ共、達觀すれ...,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라
204,C02-P14,C03-S04-I05-P11,0.08333333333333333,C02,C03,C03-S04,第二には、物質は精神を豫想して居る。 物質といふものを立てるのには、どうしても吾々の精神といふものを先へ立てぬければならぬ。 認識の順序から云へば精神の方が先だ...,論이 茲에 至하고 보면 우리는 必然으로 原子 本位의 意識論을 公認치 안이 할 수 업나니 萬一 物質을 構成한 原子에 意識이 업다 하고 보면 物質의...
205,C02-P16,C03-S04-I02-P05,0.08333333333333333,C02,C03,C03-S04,次に第四には、唯物論は斯う云ふ點に於て非常に長處がある樣に見える。 外界の物を硏究して、それから次第々に哲學的の考察を爲すに當つて、どうしても唯物でなければなら...,唯心論은 엇더한 이름과 가티 唯物論의 相對方으로 일어난 眞理니 唯物論이 宇宙의 組織을 純粹物質이라 主張하는 反對로 唯心論은 그를 純粹唯心的 作用...
206,C02-P42,C03-S04-I02-P11,0.08333333333333333,C02,C03,C03-S04,スピノーザの哲學は實在論であります。 スピノーザは精神物質といふものをSubstantiaといふ本體によつて統一したのであります。 そこで、此スピノーザの哲學は...,實在라 하는 말은 그 이름과 가티 宇宙萬象이 精神됨과 物質됨을 勿論하고 한가지로 實在라 하는 말이니 譬하야 말하면 波와 波가 한가지로 海水에 因...
207,C06-P09,C03-S04-I04-P07,0.08333333333333333,C06,C03,C03-S04,以上三種の特徴は植物にもあるので、唯、程度が低いと云ふだけであつて、決して植物に缺乏して居る譯ではない。 が、是れから後に舉げまする二種の特徴は植物には認められ...,生命의 發生原因에 就하야 세 가지의 議論이 잇으니
208,C06-P13,C03-S04-I05-P03,0.08333333333333333,C06,C03,C03-S04,第一、人間本位意識論(Anthropistische Theorie des Bewnsstseins)是れは意識は人間のみに外ないと云ふ説であります。 それは...,첫재는 사람 本位의 意識論이니 即 사람 以外의 것은 무엇이든지 意識이 업다 하는 것이며
209,C06-P13,C06-S06-P02,0.08333333333333333,C06,C06,C06-S06,第一、人間本位意識論(Anthropistische Theorie des Bewnsstseins)是れは意識は人間のみに外ないと云ふ説であります。 それは...,第一 儒敎와 基督敎의 差異点으로 말하면
